Data are subject to change at any time when further reviewed or when the Warehouse is updated. Questions can be directed to air.data@gov.ab.ca.
Multiple Parameters-One Station Data Comparison Report
Report generated by airdata.alberta.ca
Report generated on 2021-04-21 16:05:15
Collection Type: Continuous
,,Program Code: Core Long Term
05/27/2019 06:00:00,05/27/2019 06:59:00,22
05/27/2019 07:00:00,05/27/2019 07:59:00,22
05/27/2019 08:00:00,05/27/2019 08:59:00,16
05/27/2019 09:00:00,05/27/2019 09:59:00,16
05/27/2019 10:00:00,05/27/2019 10:59:00,16
05/27/2019 11:00:00,05/27/2019 11:59:00,12
05/27/2019 12:00:00,05/27/2019 12:59:00,11
05/27/2019 13:00:00,05/27/2019 13:59:00,7
05/27/2019 14:00:00,05/27/2019 14:59:00,12
05/27/2019 15:00:00,05/27/2019 15:59:00,8
05/27/2019 16:00:00,05/27/2019 16:59:00,3
05/27/2019 17:00:00,05/27/2019 17:59:00,10
05/27/2019 18:00:00,05/27/2019 18:59:00,6
05/27/2019 19:00:00,05/27/2019 19:59:00,6
05/27/2019 20:00:00,05/27/2019 20:59:00,7
05/27/2019 21:00:00,05/27/2019 21:59:00,13
05/27/2019 22:00:00,05/27/2019 22:59:00,8
05/27/2019 23:00:00,05/27/2019 23:59:00,4
05/28/2019 00:00:00,05/28/2019 00:59:00,8
05/28/2019 01:00:00,05/28/2019 01:59:00,10
05/28/2019 02:00:00,05/28/2019 02:59:00,8
05/28/2019 03:00:00,05/28/2019 03:59:00,7
05/28/2019 04:00:00,05/28/2019 04:59:00,16
05/28/2019 05:00:00,05/28/2019 05:59:00,18
05/28/2019 06:00:00,05/28/2019 06:59:00,11
05/28/2019 07:00:00,05/28/2019 07:59:00,17
05/28/2019 08:00:00,05/28/2019 08:59:00,10
05/28/2019 09:00:00,05/28/2019 09:59:00,8
05/28/2019 10:00:00,05/28/2019 10:59:00,3
05/28/2019 11:00:00,05/28/2019 11:59:00,11
05/28/2019 12:00:00,05/28/2019 12:59:00,21
05/28/2019 13:00:00,05/28/2019 13:59:00,21
05/28/2019 14:00:00,05/28/2019 14:59:00,20
05/28/2019 15:00:00,05/28/2019 15:59:00,23
05/28/2019 16:00:00,05/28/2019 16:59:00,19
05/28/2019 17:00:00,05/28/2019 17:59:00,22
05/28/2019 18:00:00,05/28/2019 18:59:00,14
05/28/2019 19:00:00,05/28/2019 19:59:00,24
05/28/2019 20:00:00,05/28/2019 20:59:00,23
05/28/2019 21:00:00,05/28/2019 21:59:00,24
05/28/2019 22:00:00,05/28/2019 22:59:00,27
05/28/2019 23:00:00,05/28/2019 23:59:00,21
05/29/2019 00:00:00,05/29/2019 00:59:00,21
05/29/2019 01:00:00,05/29/2019 01:59:00,18
05/29/2019 02:00:00,05/29/2019 02:59:00,19
05/29/2019 03:00:00,05/29/2019 03:59:00,15
05/29/2019 04:00:00,05/29/2019 04:59:00,11
05/29/2019 05:00:00,05/29/2019 05:59:00,11
05/29/2019 06:00:00,05/29/2019 06:59:00,15
05/29/2019 07:00:00,05/29/2019 07:59:00,17
05/29/2019 08:00:00,05/29/2019 08:59:00,18
05/29/2019 09:00:00,05/29/2019 09:59:00,22
05/29/2019 10:00:00,05/29/2019 10:59:00,26
05/29/2019 11:00:00,05/29/2019 11:59:00,24
05/29/2019 12:00:00,05/29/2019 12:59:00,29
05/29/2019 13:00:00,05/29/2019 13:59:00,22
05/29/2019 14:00:00,05/29/2019 14:59:00,16
05/29/2019 15:00:00,05/29/2019 15:59:00,21
05/29/2019 16:00:00,05/29/2019 16:59:00,17
05/29/2019 17:00:00,05/29/2019 17:59:00,16
05/29/2019 18:00:00,05/29/2019 18:59:00,12
05/29/2019 19:00:00,05/29/2019 19:59:00,14
05/29/2019 20:00:00,05/29/2019 20:59:00,12
05/29/2019 21:00:00,05/29/2019 21:59:00,15
05/29/2019 22:00:00,05/29/2019 22:59:00,17
05/29/2019 23:00:00,05/29/2019 23:59:00,16
05/30/2019 00:00:00,05/30/2019 00:59:00,18
05/30/2019 01:00:00,05/30/2019 01:59:00,12
05/30/2019 02:00:00,05/30/2019 02:59:00,11
05/30/2019 03:00:00,05/30/2019 03:59:00,18
05/30/2019 04:00:00,05/30/2019 04:59:00,25
05/30/2019 05:00:00,05/30/2019 05:59:00,49
05/30/2019 06:00:00,05/30/2019 06:59:00,67
05/30/2019 07:00:00,05/30/2019 07:59:00,59
05/30/2019 08:00:00,05/30/2019 08:59:00,55
05/30/2019 09:00:00,05/30/2019 09:59:00,48
05/30/2019 10:00:00,05/30/2019 10:59:00,41
05/30/2019 11:00:00,05/30/2019 11:59:00,27
05/30/2019 12:00:00,05/30/2019 12:59:00,29
05/30/2019 13:00:00,05/30/2019 13:59:00,31
05/30/2019 14:00:00,05/30/2019 14:59:00,239
05/30/2019 15:00:00,05/30/2019 15:59:00,563
05/30/2019 16:00:00,05/30/2019 16:59:00,831
05/30/2019 17:00:00,05/30/2019 17:59:00,867
05/30/2019 18:00:00,05/30/2019 18:59:00,724
05/30/2019 19:00:00,05/30/2019 19:59:00,504
05/30/2019 20:00:00,05/30/2019 20:59:00,352
05/30/2019 21:00:00,05/30/2019 21:59:00,151
05/30/2019 22:00:00,05/30/2019 22:59:00,50
05/30/2019 23:00:00,05/30/2019 23:59:00,26
05/31/2019 00:00:00,05/31/2019 00:59:00,9
05/31/2019 01:00:00,05/31/2019 01:59:00,13
05/31/2019 02:00:00,05/31/2019 02:59:00,14
05/31/2019 03:00:00,05/31/2019 03:59:00,22
05/31/2019 04:00:00,05/31/2019 04:59:00,19
05/31/2019 05:00:00,05/31/2019 05:59:00,18
05/31/2019 06:00:00,05/31/2019 06:59:00,13
05/31/2019 07:00:00,05/31/2019 07:59:00,10
05/31/2019 08:00:00,05/31/2019 08:59:00,10
05/31/2019 09:00:00,05/31/2019 09:59:00,14
05/31/2019 10:00:00,05/31/2019 10:59:00,8
05/31/2019 11:00:00,05/31/2019 11:59:00,23
05/31/2019 12:00:00,05/31/2019 12:59:00,50
05/31/2019 13:00:00,05/31/2019 13:59:00,64
05/31/2019 14:00:00,05/31/2019 14:59:00,70
05/31/2019 15:00:00,05/31/2019 15:59:00,81
05/31/2019 16:00:00,05/31/2019 16:59:00,71
05/31/2019 17:00:00,05/31/2019 17:59:00,64
05/31/2019 18:00:00,05/31/2019 18:59:00,64
05/31/2019 19:00:00,05/31/2019 19:59:00,53
05/31/2019 20:00:00,05/31/2019 20:59:00,58
05/31/2019 21:00:00,05/31/2019 21:59:00,66
05/31/2019 22:00:00,05/31/2019 22:59:00,51
05/31/2019 23:00:00,05/31/2019 23:59:00,46
06/01/2019 00:00:00,06/01/2019 00:59:00,48
06/01/2019 01:00:00,06/01/2019 01:59:00,53
06/01/2019 02:00:00,06/01/2019 02:59:00,55
06/01/2019 03:00:00,06/01/2019 03:59:00,70
06/01/2019 04:00:00,06/01/2019 04:59:00,65
06/01/2019 05:00:00,06/01/2019 05:59:00,61
06/01/2019 06:00:00,06/01/2019 06:59:00,62
06/01/2019 07:00:00,06/01/2019 07:59:00,59
06/01/2019 08:00:00,06/01/2019 08:59:00,64
06/01/2019 09:00:00,06/01/2019 09:59:00,67
06/01/2019 10:00:00,06/01/2019 10:59:00,80
06/01/2019 11:00:00,06/01/2019 11:59:00,70
06/01/2019 12:00:00,06/01/2019 12:59:00,59
06/01/2019 13:00:00,06/01/2019 13:59:00,44
06/01/2019 14:00:00,06/01/2019 14:59:00,39
06/01/2019 15:00:00,06/01/2019 15:59:00,34
06/01/2019 16:00:00,06/01/2019 16:59:00,34
06/01/2019 17:00:00,06/01/2019 17:59:00,17
06/01/2019 18:00:00,06/01/2019 18:59:00,23
06/01/2019 19:00:00,06/01/2019 19:59:00,17
06/01/2019 20:00:00,06/01/2019 20:59:00,19
06/01/2019 21:00:00,06/01/2019 21:59:00,21
06/01/2019 22:00:00,06/01/2019 22:59:00,22
06/01/2019 23:00:00,06/01/2019 23:59:00,30
06/02/2019 00:00:00,06/02/2019 00:59:00,22
06/02/2019 01:00:00,06/02/2019 01:59:00,25
06/02/2019 02:00:00,06/02/2019 02:59:00,26
06/02/2019 03:00:00,06/02/2019 03:59:00,26
06/02/2019 04:00:00,06/02/2019 04:59:00,30
06/02/2019 05:00:00,06/02/2019 05:59:00,15
06/02/2019 06:00:00,06/02/2019 06:59:00,13
06/02/2019 07:00:00,06/02/2019 07:59:00,9
06/02/2019 08:00:00,06/02/2019 08:59:00,10
06/02/2019 09:00:00,06/02/2019 09:59:00,3
06/02/2019 10:00:00,06/02/2019 10:59:00,0
06/02/2019 11:00:00,06/02/2019 11:59:00,6
06/02/2019 12:00:00,06/02/2019 12:59:00,2
06/02/2019 13:00:00,06/02/2019 13:59:00,0
06/02/2019 14:00:00,06/02/2019 14:59:00,6
06/02/2019 15:00:00,06/02/2019 15:59:00,1
06/02/2019 16:00:00,06/02/2019 16:59:00,8
06/02/2019 17:00:00,06/02/2019 17:59:00,6
06/02/2019 18:00:00,06/02/2019 18:59:00,4
06/02/2019 19:00:00,06/02/2019 19:59:00,6
06/02/2019 20:00:00,06/02/2019 20:59:00,5
06/02/2019 21:00:00,06/02/2019 21:59:00,6
06/02/2019 22:00:00,06/02/2019 22:59:00,8
06/02/2019 23:00:00,06/02/2019 23:59:00,7
06/03/2019 00:00:00,06/03/2019 00:59:00,7
06/03/2019 01:00:00,06/03/2019 01:59:00,8
06/03/2019 02:00:00,06/03/2019 02:59:00,9
06/03/2019 03:00:00,06/03/2019 03:59:00,8
06/03/2019 04:00:00,06/03/2019 04:59:00,5
06/03/2019 05:00:00,06/03/2019 05:59:00,14
06/03/2019 06:00:00,06/03/2019 06:59:00,12
06/03/2019 07:00:00,06/03/2019 07:59:00,13
06/03/2019 08:00:00,06/03/2019 08:59:00,20
06/03/2019 09:00:00,06/03/2019 09:59:00,26
06/03/2019 10:00:00,06/03/2019 10:59:00,15
06/03/2019 11:00:00,06/03/2019 11:59:00,12
06/03/2019 12:00:00,06/03/2019 12:59:00,19
06/03/2019 13:00:00,06/03/2019 13:59:00,11
06/03/2019 14:00:00,06/03/2019 14:59:00,5
06/03/2019 15:00:00,06/03/2019 15:59:00,1
06/03/2019 16:00:00,06/03/2019 16:59:00,0
06/03/2019 17:00:00,06/03/2019 17:59:00,11
06/03/2019 18:00:00,06/03/2019 18:59:00,6
06/03/2019 19:00:00,06/03/2019 19:59:00,3
06/03/2019 20:00:00,06/03/2019 20:59:00,5
06/03/2019 21:00:00,06/03/2019 21:59:00,0
06/03/2019 22:00:00,06/03/2019 22:59:00,3
06/03/2019 23:00:00,06/03/2019 23:59:00,4
06/04/2019 00:00:00,06/04/2019 00:59:00,3
06/04/2019 01:00:00,06/04/2019 01:59:00,1
06/04/2019 02:00:00,06/04/2019 02:59:00,6
06/04/2019 03:00:00,06/04/2019 03:59:00,3
06/04/2019 04:00:00,06/04/2019 04:59:00,3
06/04/2019 05:00:00,06/04/2019 05:59:00,1
06/04/2019 06:00:00,06/04/2019 06:59:00,4
06/04/2019 07:00:00,06/04/2019 07:59:00,5
06/04/2019 08:00:00,06/04/2019 08:59:00,3
06/04/2019 09:00:00,06/04/2019 09:59:00,2
06/04/2019 10:00:00,06/04/2019 10:59:00,5
06/04/2019 11:00:00,06/04/2019 11:59:00,2
06/04/2019 12:00:00,06/04/2019 12:59:00,0
06/04/2019 13:00:00,06/04/2019 13:59:00,5
06/04/2019 14:00:00,06/04/2019 14:59:00,8
06/04/2019 15:00:00,06/04/2019 15:59:00,4
06/04/2019 16:00:00,06/04/2019 16:59:00,4
06/04/2019 17:00:00,06/04/2019 17:59:00,4
06/04/2019 18:00:00,06/04/2019 18:59:00,9
06/04/2019 19:00:00,06/04/2019 19:59:00,0
06/04/2019 20:00:00,06/04/2019 20:59:00,
06/04/2019 21:00:00,06/04/2019 21:59:00,1
06/04/2019 22:00:00,06/04/2019 22:59:00,0
06/04/2019 23:00:00,06/04/2019 23:59:00,3
06/05/2019 00:00:00,06/05/2019 00:59:00,0
06/05/2019 01:00:00,06/05/2019 01:59:00,1
06/05/2019 02:00:00,06/05/2019 02:59:00,0
06/05/2019 03:00:00,06/05/2019 03:59:00,2
06/05/2019 04:00:00,06/05/2019 04:59:00,3
06/05/2019 05:00:00,06/05/2019 05:59:00,3
06/05/2019 06:00:00,06/05/2019 06:59:00,8
06/05/2019 07:00:00,06/05/2019 07:59:00,14
06/05/2019 08:00:00,06/05/2019 08:59:00,10
06/05/2019 09:00:00,06/05/2019 09:59:00,37
06/05/2019 10:00:00,06/05/2019 10:59:00,8
06/05/2019 11:00:00,06/05/2019 11:59:00,19
06/05/2019 12:00:00,06/05/2019 12:59:00,5
06/05/2019 13:00:00,06/05/2019 13:59:00,2
06/05/2019 14:00:00,06/05/2019 14:59:00,3
06/05/2019 15:00:00,06/05/2019 15:59:00,0
06/05/2019 16:00:00,06/05/2019 16:59:00,4
06/05/2019 17:00:00,06/05/2019 17:59:00,0
06/05/2019 18:00:00,06/05/2019 18:59:00,12
06/05/2019 19:00:00,06/05/2019 19:59:00,2
06/05/2019 20:00:00,06/05/2019 20:59:00,5
06/05/2019 21:00:00,06/05/2019 21:59:00,0
06/05/2019 22:00:00,06/05/2019 22:59:00,3
06/05/2019 23:00:00,06/05/2019 23:59:00,5
